Tree_ID,Block,Tree_Rep,Tree_No,Treatment,Date.Collected,Sorter,Onychiuridea,Isotomidea,Entomobryidae,Sminthuridae,Tomoceridae,Hypogastruridae,Neanuridae
TR-17-3,2017,3,32,Control,6/10/2024,Rosetta Morgan,3,0,0,0,0,0,0
TR-17-4,2017,4,33,Control,6/10/2024,Rosetta Morgan,0,0,0,0,0,0,0
TR-18-1,2018,1,34,Control,6/10/2024,Rosetta Morgan,0,0,0,0,0,0,0
TR-18-2,2018,2,35,Control,6/10/2024,Rosetta Morgan,0,0,0,0,0,0,0
TR-27-1,2027,1,38,Control,6/10/2024,Rosetta Morgan,0,1,0,0,0,1,0
TR-27-4,2027,4,41,Control,6/10/2024,Rosetta Morgan,0,2,0,0,0,0,0
TR-28-2,2028,2,43,Control,6/10/2024,Rosetta Morgan,1,0,0,0,0,0,0
TR-28-3,2028,3,44,Control,6/10/2024,Rosetta Morgan,1,1,0,0,0,0,0
TR-38-2,2038,2,47,Control,6/10/2024,Kayla Perry,0,1,0,0,0,0,0
TR-38-4,2038,4,49,Control,6/10/2024,Rosetta Morgan,8,0,0,0,0,0,0
MP-17-1,2017,1,20,Sugar_Maple,6/20/2024,Rosetta Morgan,19,4,5,0,0,6,0
MP-17-2,2017,2,21,Sugar_Maple,6/20/2024,Rosetta Morgan,3,3,0,0,0,0,0
MP-18-1,2018,1,22,Sugar_Maple,6/20/2024,Alyssa Mills,3,3,4,0,0,6,0
MP-18-2,2018,2,23,Sugar_Maple,6/20/2024,Rosetta Morgan,0,0,0,0,0,0,0
MP-27-1,2027,1,24,Sugar_Maple,6/20/2024,Rosetta Morgan,1,1,1,0,0,0,0
MP-27-2,2027,2,25,Sugar_Maple,6/20/2024,Rosetta Morgan,4,1,1,0,0,1,0
MP-28-1,2028,1,26,Sugar_Maple,6/20/2024,Alyssa Mills,0,0,1,0,0,0,0
MP-28-2,2028,2,27,Sugar_Maple,6/20/2024,Rosetta Morgan,1,0,0,0,0,0,0
MP-38-1,2038,1,28,Sugar_Maple,6/20/2024,Rosetta Morgan,0,2,0,0,0,0,0
MP-38-2,2038,2,29,Sugar_Maple,6/20/2024,Rosetta Morgan,0,2,0,0,0,0,0
104-18-22,2018,1,104,TR_2022,7/23/2024,Alyssa Mills,0,0,0,0,0,0,0
